restaurant_id,category,name,description,price
1360,Veggie Cravings,Black Bean Chalupa Supreme®,"A chewy chalupa shell filled with black beans, reduced-fat sour cream, lettuce, tomatoes, and three-cheese blend.",3.95 USD
1360,Veggie Cravings,Black Bean Crunchwrap Supreme®,"Flour tortilla, black beans, nacho cheese sauce, tostada shell, lettuce, tomatoes &amp; reduced fat sour cream layers grilled in a crunchwrap. Item is lacto-ovo, allowing for dairy &amp; egg consumption. Preparation method may lead to cross contact with meat",5.27 USD
1360,Veggie Cravings,Cheese Quesadilla,"Large flour tortilla filled with melty three-cheese blend, creamy jalapeño sauce, perfectly folded &amp; grilled. Item is lacto-ovo, allowing for dairy &amp; egg consumption. Preparation methods may lead to cross contact with meat. See ta.co for full details.",5.03 USD
1360,Veggie Cravings,Power Menu Bowl - Veggie,"Seasoned rice and black beans topped with avocado ranch sauce, reduced-fat sour cream, lettuce, tomatoes, real cheddar cheese and guacamole.",6.59 USD
1360,Veggie Cravings,Cheesy Roll Up,"A warm flour tortilla filled with our 3-cheese blend. Item is lacto-ovo, allowing for dairy &amp; egg consumption. Preparation methods may lead to cross contact with meat. See ta.co for full details.",1.2 USD
1360,Veggie Cravings,Chips and Nacho Cheese Sauce,Nacho chips with a side of warm nacho cheese sauce for dipping.,2.15 USD
1360,Veggie Cravings,Black Beans,"Savory black beans. Item is lacto-ovo, allowing for dairy &amp; egg consumption. Preparation methods may lead to cross contact with meat. See ta.co for full details.",1.79 USD
1360,Veggie Cravings,Black Beans and Rice,"Black beans served with seasoned rice. Item is lacto-ovo, allowing for dairy &amp; egg consumption. Preparation methods may lead to cross contact with meat. See ta.co for full details.",1.79 USD
1360,Veggie Cravings,Cinnamon Twists,"Crispy, puffed corn twists sprinkled with cinnamon and sugar.",1.2 USD
1360,Veggie Cravings,Cinnabon Delights® 2 Pack,"Warm donut holes filled with Cinnabon® signature cream cheese frosting, and dusted in Makara Cinnamon sugar",1.91 USD
1360,Veggie Cravings,Cinnabon Delights® 12 Pack,"Warm donut holes filled with Cinnabon® signature cream cheese frosting, and dusted in Makara Cinnamon sugar.",7.43 USD
1361,Picked for you,NEW! Raspberry Lemon Drop,"Light &amp; refreshing! Yellow sponge cake is layered with lemon mousse and thick raspberry preserves. Finished with a bright lemon glaze and mini white chocolate curls. ",5.79 USD
1361,Picked for you,Chocolate French Silk Pie,"Creamy chocolate topped with real whipped cream and dark chocolate curls. (760 cal/slice)

Serves six or more! 

",17.29 USD
1361,Picked for you,Heath® Crunch Cheesecake Pie,"A caramel toffee cheesecake topped with real whipped cream, crushed Heath® bar and chocolate curls, layered with chocolate ganache and toffee pieces in a graham cracker crust. (750 cal/slice)",17.89 USD
1361,Picked for you,Banana Cream Pie,"Loaded with hand-sliced bananas and topped with real whipped cream and chopped walnuts.
(700 cal/slice)

Serves six or more! 

",16.09 USD
1361,Picked for you,Half Dozen Blueberry Mammoth Muffins®,(650 cal each),11.39 USD
1361,Pie Slices,"Banana Cream Pie, slice","Loaded with hand-sliced bananas and topped with real whipped cream and chopped walnuts.
(700 cal/slice)

",4.99 USD
1361,Pie Slices,"Caramel Apple Pie, slice","Luscious apples with a crumb topping and rich caramel icing. (500 cal/slice)

",4.59 USD
1361,Pie Slices,"Cherry Pie, slice",Sweet and tangy cherries baked inside a golden double crust. (580 cal/slice),4.59 USD
1361,Pie Slices,"Chocolate French Silk Pie, slice","Creamy chocolate topped with real whipped cream and dark chocolate curls. (760 cal/slice)

",4.99 USD
1361,Pie Slices,"Coconut Cream Pie, slice","Shredded coconut in a vanilla filling, topped with real whipped cream. (640 cal/slice)

",4.99 USD
1361,Pie Slices,"Fresh Strawberry Pie, slice","Fresh glazed strawberries layered with Bavarian cream in a flaky pie crust. (540 cal/slice)   ",4.99 USD
1361,Pie Slices,Heath® Crunch Cheesecake Pie,"A caramel toffee cheesecake topped with real whipped cream, crushed Heath® bar and chocolate curls, layered with chocolate ganache and toffee pieces in a graham cracker crust. (750 cal/slice)
",4.99 USD
1361,Pie Slices,"Homestyle Apple Pie, slice","Juicy sweet apples baked fresh inside a golden flaky crust.
(570 cal/slice)

",4.59 USD
1361,Pie Slices,"Lemon Meringue Pie, slice","Tangy lemon filling, light and fluffy. (500 cal/slice)

",4.59 USD
1361,Pie Slices,"Peanut Butter Silk Pie, slice","Layers of chocolate, peanut butter silk, real whipped cream and mini chocolate peanut butter cups. (930 cal/slice)

",4.99 USD
1361,Pie Slices,"Wildberry Pie, slice","Seasonal ripe berries.  No sugar added. (470 cal/slice)

",4.59 USD
